Incidence per 1000 by age and sex			
	SouthAfricaIC2		
 10-14 	0.00	0.00	0.00
 15-19 	7.37	4.35	10.46
 20-24 	18.97	14.15	24.09
 25-29 	21.16	17.99	24.71
 30-34 	19.28	17.84	20.96
 35-39 	16.05	15.40	16.82
 40-44 	12.71	12.04	13.45
 45-49 	9.78	8.84	10.72
 50-54 	7.35	6.40	8.16
 55-59 	5.48	5.03	5.82
 60-64 	4.30	4.61	4.08
 65-69 	3.98	4.70	3.53
 70-74 	4.34	4.56	4.21
 75-79 	1.64	3.03	0.97
 80+ 	0.00	0.00	0.00
Total	8.89	7.91	9.86
2014			
 0-4	2.97	2.98	2.95
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	6.71	3.96	9.53
 20-24 	17.31	12.92	21.98
 25-29 	19.32	16.43	22.54
 30-34 	17.60	16.28	19.13
 35-39 	14.66	14.06	15.37
 40-44 	11.61	11.01	12.30
 45-49 	8.93	8.08	9.79
 50-54 	6.71	5.85	7.46
 55-59 	5.00	4.60	5.31
 60-64 	3.93	4.21	3.73
 65-69 	3.64	4.30	3.23
 70-74 	3.96	4.17	3.85
 75-79 	1.49	2.77	0.89
 80+ 	0.00	0.00	0.00
Total	8.09	7.20	8.96
2015			
 0-4	2.95	2.96	2.93
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	6.36	3.74	9.03
 20-24 	16.45	12.27	20.88
 25-29 	18.36	15.61	21.40
 30-34 	16.72	15.47	18.16
 35-39 	13.93	13.37	14.60
 40-44 	11.03	10.46	11.69
 45-49 	8.48	7.67	9.31
 50-54 	6.37	5.56	7.09
 55-59 	4.75	4.37	5.04
 60-64 	3.73	4.00	3.54
 65-69 	3.46	4.09	3.07
 70-74 	3.77	3.96	3.66
 75-79 	1.42	2.64	0.85
 80+ 	0.00	0.00	0.00
Total	7.71	6.87	8.53
2016			
 0-4	2.92	2.94	2.91
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	6.03	3.55	8.57
 20-24 	15.67	11.69	19.87
 25-29 	17.48	14.86	20.37
 30-34 	15.91	14.72	17.28
 35-39 	13.27	12.73	13.90
 40-44 	10.51	9.96	11.14
 45-49 	8.06	7.31	8.86
 50-54 	6.06	5.30	6.75
 55-59 	4.52	4.16	4.80
 60-64 	3.55	3.81	3.37
 65-69 	3.29	3.89	2.92
 70-74 	3.58	3.77	3.48
 75-79 	1.35	2.52	0.82
 80+ 	0.00	0.00	0.00
Total	7.36	6.57	8.14
2017			
 0-4	2.88	2.89	2.87
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.73	3.37	8.14
 20-24 	14.92	11.14	18.92
 25-29 	16.65	14.15	19.39
 30-34 	15.15	14.02	16.45
 35-39 	12.64	12.12	13.24
 40-44 	10.01	9.50	10.61
 45-49 	7.68	6.96	8.44
 50-54 	5.77	5.05	6.44
 55-59 	4.30	3.96	4.57
 60-64 	3.39	3.63	3.21
 65-69 	3.14	3.71	2.78
 70-74 	3.41	3.59	3.31
 75-79 	1.29	2.41	0.78
 80+ 	0.00	0.00	0.00
Total	7.03	6.28	7.78
2018			
 0-4	2.83	2.84	2.81
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.56	3.27	7.90
 20-24 	14.46	10.79	18.33
 25-29 	16.15	13.72	18.79
 30-34 	14.69	13.59	15.93
 35-39 	12.25	11.75	12.83
 40-44 	9.71	9.21	10.29
 45-49 	7.44	6.76	8.19
 50-54 	5.59	4.90	6.25
 55-59 	4.17	3.85	4.43
 60-64 	3.28	3.52	3.11
 65-69 	3.05	3.60	2.70
 70-74 	3.31	3.49	3.21
 75-79 	1.25	2.34	0.76
 80+ 	0.00	0.00	0.00
Total	6.84	6.11	7.56
2019			
 0-4	2.76	2.77	2.75
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.40	3.18	7.67
 20-24 	14.00	10.45	17.74
 25-29 	15.64	13.30	18.20
 30-34 	14.23	13.17	15.42
 35-39 	11.86	11.38	12.42
 40-44 	9.41	8.93	9.97
 45-49 	7.21	6.55	7.94
 50-54 	5.41	4.75	6.05
 55-59 	4.03	3.73	4.29
 60-64 	3.18	3.42	3.01
 65-69 	2.95	3.49	2.62
 70-74 	3.20	3.38	3.11
 75-79 	1.21	2.27	0.73
 80+ 	0.00	0.00	0.00
Total	6.64	5.93	7.34
2020			
 0-4	2.69	2.70	2.68
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.30	3.12	7.51
 20-24 	13.64	10.18	17.29
 25-29 	15.26	12.97	17.75
 30-34 	13.88	12.85	15.04
 35-39 	11.57	11.10	12.11
 40-44 	9.18	8.72	9.73
 45-49 	7.03	6.40	7.75
 50-54 	5.27	4.64	5.91
 55-59 	3.93	3.64	4.18
 60-64 	3.10	3.33	2.94
 65-69 	2.88	3.40	2.55
 70-74 	3.13	3.30	3.03
 75-79 	1.17	2.21	0.71
 80+ 	0.00	0.00	0.00
Total	6.50	5.80	7.19
2021			
 0-4	2.63	2.63	2.62
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.33	3.14	7.56
 20-24 	13.65	10.19	17.29
 25-29 	15.28	13.00	17.77
 30-34 	13.90	12.87	15.05
 35-39 	11.58	11.12	12.12
 40-44 	9.20	8.73	9.74
 45-49 	7.04	6.41	7.76
 50-54 	5.27	4.65	5.91
 55-59 	3.93	3.65	4.19
 60-64 	3.11	3.34	2.94
 65-69 	2.89	3.41	2.56
 70-74 	3.13	3.31	3.04
 75-79 	1.17	2.21	0.70
 80+ 	0.00	0.00	0.00
Total	6.52	5.82	7.22
2022			
 0-4	2.56	2.57	2.56
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.35	3.16	7.59
 20-24 	13.66	10.19	17.30
 25-29 	15.30	13.01	17.78
 30-34 	13.91	12.88	15.06
 35-39 	11.59	11.12	12.12
 40-44 	9.20	8.74	9.75
 45-49 	7.04	6.42	7.77
 50-54 	5.27	4.65	5.92
 55-59 	3.94	3.65	4.20
 60-64 	3.11	3.34	2.94
 65-69 	2.89	3.41	2.56
 70-74 	3.14	3.31	3.04
 75-79 	1.16	2.21	0.70
 80+ 	0.00	0.00	0.00
Total	6.54	5.84	7.25
2023			
 0-4	2.51	2.51	2.50
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.37	3.17	7.60
 20-24 	13.67	10.19	17.31
 25-29 	15.31	13.01	17.78
 30-34 	13.92	12.89	15.07
 35-39 	11.59	11.12	12.12
 40-44 	9.21	8.74	9.75
 45-49 	7.05	6.42	7.78
 50-54 	5.27	4.66	5.92
 55-59 	3.94	3.65	4.20
 60-64 	3.11	3.34	2.94
 65-69 	2.89	3.41	2.56
 70-74 	3.14	3.31	3.04
 75-79 	1.16	2.21	0.70
 80+ 	0.00	0.00	0.00
Total	6.56	5.85	7.27
2024			
 0-4	2.45	2.46	2.44
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.35	3.16	7.59
 20-24 	13.68	10.21	17.32
 25-29 	15.31	13.01	17.79
 30-34 	13.93	12.89	15.07
 35-39 	11.59	11.12	12.12
 40-44 	9.20	8.73	9.75
 45-49 	7.05	6.43	7.78
 50-54 	5.26	4.66	5.93
 55-59 	3.93	3.65	4.20
 60-64 	3.12	3.34	2.94
 65-69 	2.90	3.41	2.56
 70-74 	3.14	3.31	3.04
 75-79 	1.16	2.21	0.70
 80+ 	0.00	0.00	0.00
Total	6.58	5.86	7.30
2025			
 0-4	2.40	2.41	2.39
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.34	3.15	7.57
 20-24 	13.71	10.23	17.36
 25-29 	15.32	13.02	17.81
 30-34 	13.94	12.90	15.08
 35-39 	11.59	11.12	12.12
 40-44 	9.21	8.73	9.75
 45-49 	7.06	6.43	7.79
 50-54 	5.27	4.66	5.94
 55-59 	3.93	3.65	4.21
 60-64 	3.12	3.35	2.94
 65-69 	2.90	3.42	2.56
 70-74 	3.14	3.31	3.04
 75-79 	1.17	2.21	0.70
 80+ 	0.00	0.00	0.00
Total	6.60	5.88	7.32
2026			
 0-4	2.36	2.36	2.35
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.34	3.15	7.57
 20-24 	13.75	10.26	17.40
 25-29 	15.34	13.03	17.84
 30-34 	13.95	12.91	15.10
 35-39 	11.61	11.13	12.14
 40-44 	9.22	8.74	9.76
 45-49 	7.07	6.44	7.80
 50-54 	5.27	4.67	5.95
 55-59 	3.93	3.66	4.21
 60-64 	3.13	3.35	2.95
 65-69 	2.91	3.42	2.57
 70-74 	3.14	3.31	3.04
 75-79 	1.17	2.22	0.71
 80+ 	0.00	0.00	0.00
Total	6.62	5.89	7.35
2027			
 0-4	2.32	2.33	2.31
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.34	3.15	7.58
 20-24 	13.78	10.28	17.44
 25-29 	15.37	13.04	17.87
 30-34 	13.97	12.92	15.12
 35-39 	11.62	11.14	12.16
 40-44 	9.22	8.74	9.77
 45-49 	7.08	6.44	7.81
 50-54 	5.28	4.67	5.96
 55-59 	3.94	3.66	4.22
 60-64 	3.14	3.35	2.95
 65-69 	2.92	3.42	2.57
 70-74 	3.14	3.31	3.04
 75-79 	1.17	2.22	0.71
 80+ 	0.00	0.00	0.00
Total	6.64	5.90	7.38
2028			
 0-4	2.29	2.29	2.28
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.35	3.16	7.60
 20-24 	13.80	10.30	17.47
 25-29 	15.39	13.05	17.90
 30-34 	13.99	12.93	15.15
 35-39 	11.64	11.15	12.18
 40-44 	9.23	8.75	9.79
 45-49 	7.09	6.44	7.82
 50-54 	5.29	4.68	5.98
 55-59 	3.94	3.67	4.23
 60-64 	3.14	3.36	2.96
 65-69 	2.92	3.43	2.58
 70-74 	3.14	3.32	3.05
 75-79 	1.17	2.22	0.71
 80+ 	0.00	0.00	0.00
Total	6.66	5.92	7.41
2029			
 0-4	2.26	2.26	2.25
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.36	3.16	7.62
 20-24 	13.81	10.30	17.49
 25-29 	15.41	13.07	17.93
 30-34 	14.02	12.95	15.18
 35-39 	11.66	11.17	12.20
 40-44 	9.24	8.75	9.80
 45-49 	7.09	6.45	7.84
 50-54 	5.29	4.69	5.99
 55-59 	3.95	3.67	4.24
 60-64 	3.15	3.36	2.97
 65-69 	2.93	3.43	2.58
 70-74 	3.15	3.32	3.05
 75-79 	1.17	2.22	0.70
 80+ 	0.00	0.00	0.00
Total	6.68	5.93	7.44
2030			
 0-4	2.23	2.24	2.22
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.37	3.17	7.63
 20-24 	13.81	10.29	17.51
 25-29 	15.43	13.08	17.95
 30-34 	14.04	12.96	15.22
 35-39 	11.67	11.17	12.22
 40-44 	9.25	8.75	9.81
 45-49 	7.10	6.45	7.85
 50-54 	5.30	4.69	6.00
 55-59 	3.95	3.67	4.25
 60-64 	3.16	3.36	2.97
 65-69 	2.94	3.43	2.59
 70-74 	3.15	3.32	3.05
 75-79 	1.17	2.22	0.70
 80+ 	0.00	0.00	0.00
Total	6.70	5.94	7.47
2031			
 0-4	2.21	2.22	2.20
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.38	3.17	7.65
 20-24 	13.82	10.29	17.53
 25-29 	15.44	13.09	17.97
 30-34 	14.06	12.97	15.24
 35-39 	11.68	11.18	12.24
 40-44 	9.26	8.75	9.82
 45-49 	7.11	6.45	7.85
 50-54 	5.31	4.69	6.01
 55-59 	3.96	3.68	4.26
 60-64 	3.16	3.36	2.97
 65-69 	2.95	3.43	2.59
 70-74 	3.15	3.32	3.05
 75-79 	1.17	2.22	0.69
 80+ 	0.00	0.00	0.00
Total	6.72	5.95	7.49
2032			
 0-4	2.19	2.20	2.18
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.39	3.17	7.66
 20-24 	13.83	10.29	17.55
 25-29 	15.45	13.09	17.98
 30-34 	14.07	12.97	15.27
 35-39 	11.69	11.18	12.25
 40-44 	9.27	8.75	9.83
 45-49 	7.11	6.44	7.86
 50-54 	5.31	4.69	6.02
 55-59 	3.96	3.68	4.27
 60-64 	3.17	3.36	2.98
 65-69 	2.96	3.43	2.59
 70-74 	3.15	3.32	3.05
 75-79 	1.17	2.22	0.69
 80+ 	0.00	0.00	0.00
Total	6.73	5.96	7.51
2033			
 0-4	2.17	2.18	2.17
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.40	3.17	7.67
 20-24 	13.84	10.29	17.57
 25-29 	15.46	13.09	18.00
 30-34 	14.08	12.97	15.28
 35-39 	11.70	11.18	12.26
 40-44 	9.27	8.75	9.84
 45-49 	7.11	6.44	7.86
 50-54 	5.31	4.69	6.02
 55-59 	3.96	3.68	4.28
 60-64 	3.17	3.36	2.98
 65-69 	2.96	3.43	2.60
 70-74 	3.15	3.32	3.05
 75-79 	1.16	2.21	0.69
 80+ 	0.00	0.00	0.00
Total	6.74	5.96	7.53
2034			
 0-4	2.16	2.16	2.15
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.40	3.17	7.68
 20-24 	13.85	10.29	17.59
 25-29 	15.46	13.08	18.02
 30-34 	14.08	12.96	15.28
 35-39 	11.70	11.18	12.28
 40-44 	9.28	8.75	9.85
 45-49 	7.11	6.43	7.86
 50-54 	5.31	4.68	6.02
 55-59 	3.97	3.68	4.28
 60-64 	3.17	3.36	2.99
 65-69 	2.97	3.43	2.60
 70-74 	3.15	3.32	3.05
 75-79 	1.16	2.21	0.68
 80+ 	0.00	0.00	0.00
Total	6.75	5.97	7.55
2035			
 0-4	2.14	2.15	2.13
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.40	3.17	7.69
 20-24 	13.85	10.29	17.60
 25-29 	15.46	13.07	18.03
 30-34 	14.07	12.95	15.28
 35-39 	11.71	11.18	12.29
 40-44 	9.28	8.75	9.86
 45-49 	7.11	6.42	7.87
 50-54 	5.31	4.68	6.02
 55-59 	3.97	3.67	4.29
 60-64 	3.18	3.36	2.99
 65-69 	2.97	3.43	2.60
 70-74 	3.16	3.32	3.05
 75-79 	1.16	2.21	0.67
 80+ 	0.00	0.00	0.00
Total	6.76	5.97	7.56
2036			
 0-4	2.13	2.13	2.12
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.40	3.17	7.69
 20-24 	13.85	10.28	17.61
 25-29 	15.46	13.06	18.04
 30-34 	14.06	12.94	15.28
 35-39 	11.71	11.17	12.30
 40-44 	9.27	8.74	9.86
 45-49 	7.11	6.42	7.87
 50-54 	5.31	4.67	6.02
 55-59 	3.97	3.67	4.29
 60-64 	3.18	3.36	2.99
 65-69 	2.98	3.43	2.60
 70-74 	3.16	3.32	3.06
 75-79 	1.16	2.20	0.67
 80+ 	0.00	0.00	0.00
Total	6.76	5.97	7.57
2037			
 0-4	2.11	2.12	2.11
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.40	3.17	7.70
 20-24 	13.85	10.28	17.62
 25-29 	15.46	13.05	18.05
 30-34 	14.05	12.92	15.28
 35-39 	11.72	11.17	12.31
 40-44 	9.27	8.73	9.86
 45-49 	7.11	6.41	7.87
 50-54 	5.31	4.67	6.02
 55-59 	3.97	3.67	4.29
 60-64 	3.18	3.35	3.00
 65-69 	2.98	3.42	2.60
 70-74 	3.16	3.32	3.06
 75-79 	1.16	2.20	0.66
 80+ 	0.00	0.00	0.00
Total	6.77	5.97	7.57
2038			
 0-4	2.10	2.11	2.10
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.40	3.17	7.70
 20-24 	13.85	10.27	17.63
 25-29 	15.46	13.04	18.06
 30-34 	14.05	12.91	15.28
 35-39 	11.71	11.16	12.32
 40-44 	9.27	8.73	9.87
 45-49 	7.11	6.41	7.87
 50-54 	5.31	4.66	6.02
 55-59 	3.96	3.66	4.29
 60-64 	3.18	3.35	3.00
 65-69 	2.98	3.42	2.60
 70-74 	3.17	3.31	3.06
 75-79 	1.17	2.20	0.66
 80+ 	0.00	0.00	0.00
Total	6.77	5.97	7.58
2039			
 0-4	2.09	2.10	2.09
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.40	3.17	7.70
 20-24 	13.85	10.26	17.64
 25-29 	15.45	13.03	18.07
 30-34 	14.05	12.90	15.29
 35-39 	11.71	11.15	12.32
 40-44 	9.28	8.72	9.88
 45-49 	7.11	6.41	7.88
 50-54 	5.31	4.65	6.02
 55-59 	3.96	3.66	4.29
 60-64 	3.18	3.35	3.00
 65-69 	2.99	3.42	2.60
 70-74 	3.17	3.31	3.07
 75-79 	1.17	2.20	0.66
 80+ 	0.00	0.00	0.00
Total	6.77	5.97	7.58
2040			
 0-4	2.09	2.09	2.08
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.40	3.16	7.71
 20-24 	13.85	10.26	17.65
 25-29 	15.45	13.03	18.08
 30-34 	14.05	12.90	15.31
 35-39 	11.70	11.13	12.32
 40-44 	9.28	8.73	9.89
 45-49 	7.11	6.40	7.88
 50-54 	5.31	4.65	6.02
 55-59 	3.96	3.66	4.29
 60-64 	3.18	3.35	3.01
 65-69 	2.99	3.42	2.60
 70-74 	3.17	3.31	3.07
 75-79 	1.19	2.20	0.66
 80+ 	0.00	0.00	0.00
Total	6.77	5.96	7.58
2041			
 0-4	2.08	2.08	2.07
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.41	3.16	7.71
 20-24 	13.86	10.26	17.67
 25-29 	15.46	13.02	18.09
 30-34 	14.06	12.90	15.33
 35-39 	11.69	11.12	12.32
 40-44 	9.29	8.73	9.90
 45-49 	7.11	6.40	7.89
 50-54 	5.31	4.65	6.03
 55-59 	3.96	3.66	4.29
 60-64 	3.18	3.35	3.01
 65-69 	2.99	3.42	2.60
 70-74 	3.17	3.31	3.07
 75-79 	1.20	2.20	0.67
 80+ 	0.00	0.00	0.00
Total	6.77	5.96	7.59
2042			
 0-4	2.07	2.08	2.06
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.41	3.16	7.72
 20-24 	13.87	10.26	17.68
 25-29 	15.46	13.02	18.11
 30-34 	14.07	12.90	15.34
 35-39 	11.69	11.12	12.32
 40-44 	9.30	8.73	9.92
 45-49 	7.12	6.40	7.90
 50-54 	5.31	4.65	6.03
 55-59 	3.96	3.65	4.30
 60-64 	3.18	3.35	3.01
 65-69 	2.99	3.42	2.60
 70-74 	3.18	3.31	3.08
 75-79 	1.21	2.20	0.67
 80+ 	0.00	0.00	0.00
Total	6.77	5.96	7.59
2043			
 0-4	2.07	2.07	2.06
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.41	3.16	7.73
 20-24 	13.88	10.26	17.70
 25-29 	15.47	13.03	18.13
 30-34 	14.07	12.90	15.36
 35-39 	11.70	11.12	12.33
 40-44 	9.30	8.73	9.92
 45-49 	7.12	6.40	7.91
 50-54 	5.32	4.65	6.04
 55-59 	3.96	3.65	4.30
 60-64 	3.18	3.35	3.01
 65-69 	3.00	3.42	2.61
 70-74 	3.18	3.31	3.08
 75-79 	1.23	2.21	0.68
 80+ 	0.00	0.00	0.00
Total	6.77	5.97	7.59
2044			
 0-4	2.06	2.07	2.06
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.42	3.16	7.74
 20-24 	13.89	10.26	17.72
 25-29 	15.48	13.03	18.14
 30-34 	14.08	12.90	15.37
 35-39 	11.71	11.12	12.35
 40-44 	9.31	8.73	9.93
 45-49 	7.13	6.41	7.92
 50-54 	5.32	4.65	6.04
 55-59 	3.97	3.65	4.30
 60-64 	3.18	3.35	3.02
 65-69 	3.00	3.42	2.61
 70-74 	3.19	3.31	3.09
 75-79 	1.24	2.21	0.68
 80+ 	0.00	0.00	0.00
Total	6.77	5.97	7.59
2045			
 0-4	2.06	2.07	2.05
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.42	3.16	7.74
 20-24 	13.90	10.26	17.74
 25-29 	15.50	13.03	18.16
 30-34 	14.09	12.90	15.39
 35-39 	11.72	11.13	12.37
 40-44 	9.31	8.73	9.94
 45-49 	7.14	6.41	7.93
 50-54 	5.33	4.65	6.05
 55-59 	3.97	3.65	4.30
 60-64 	3.18	3.35	3.02
 65-69 	3.00	3.42	2.61
 70-74 	3.19	3.31	3.10
 75-79 	1.25	2.21	0.68
 80+ 	0.00	0.00	0.00
Total	6.77	5.97	7.59
2046			
 0-4	2.06	2.07	2.05
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.43	3.17	7.75
 20-24 	13.91	10.27	17.76
 25-29 	15.51	13.04	18.19
 30-34 	14.10	12.91	15.41
 35-39 	11.74	11.14	12.39
 40-44 	9.31	8.72	9.94
 45-49 	7.15	6.42	7.94
 50-54 	5.33	4.65	6.06
 55-59 	3.97	3.65	4.30
 60-64 	3.19	3.35	3.02
 65-69 	3.00	3.42	2.61
 70-74 	3.20	3.31	3.10
 75-79 	1.25	2.21	0.68
 80+ 	0.00	0.00	0.00
Total	6.77	5.97	7.59
2047			
 0-4	2.06	2.07	2.05
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.44	3.17	7.76
 20-24 	13.93	10.28	17.79
 25-29 	15.53	13.05	18.21
 30-34 	14.12	12.92	15.43
 35-39 	11.75	11.15	12.41
 40-44 	9.31	8.72	9.95
 45-49 	7.16	6.43	7.96
 50-54 	5.34	4.66	6.06
 55-59 	3.98	3.66	4.31
 60-64 	3.19	3.35	3.02
 65-69 	3.00	3.42	2.62
 70-74 	3.20	3.32	3.11
 75-79 	1.27	2.21	0.69
 80+ 	0.00	0.00	0.00
Total	6.78	5.97	7.60
2048			
 0-4	2.06	2.06	2.05
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.44	3.17	7.78
 20-24 	13.94	10.29	17.81
 25-29 	15.54	13.06	18.24
 30-34 	14.13	12.93	15.45
 35-39 	11.76	11.16	12.42
 40-44 	9.32	8.73	9.96
 45-49 	7.17	6.43	7.97
 50-54 	5.35	4.66	6.08
 55-59 	3.98	3.66	4.32
 60-64 	3.19	3.36	3.03
 65-69 	3.01	3.43	2.62
 70-74 	3.21	3.32	3.12
 75-79 	1.28	2.21	0.69
 80+ 	0.00	0.00	0.00
Total	6.78	5.98	7.60
2049			
 0-4	2.06	2.06	2.05
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.45	3.18	7.79
 20-24 	13.96	10.30	17.84
 25-29 	15.56	13.08	18.27
 30-34 	14.15	12.94	15.47
 35-39 	11.77	11.17	12.44
 40-44 	9.33	8.74	9.98
 45-49 	7.18	6.44	7.98
 50-54 	5.36	4.67	6.09
 55-59 	3.99	3.67	4.32
 60-64 	3.19	3.36	3.03
 65-69 	3.01	3.43	2.62
 70-74 	3.22	3.33	3.13
 75-79 	1.29	2.22	0.70
 80+ 	0.00	0.00	0.00
Total	6.78	5.98	7.60
2050			
 0-4	2.06	2.07	2.06
 5-9	0.00	0.00	0.00
 10-14 	0.00	0.00	0.00
 15-19 	5.46	3.18	7.80
 20-24 	13.98	10.31	17.87
 25-29 	15.58	13.09	18.29
 30-34 	14.17	12.96	15.49
 35-39 	11.79	11.18	12.46
 40-44 	9.35	8.76	10.00
 45-49 	7.18	6.44	7.98
 50-54 	5.37	4.68	6.10
 55-59 	3.99	3.67	4.33
 60-64 	3.20	3.36	3.03
 65-69 	3.01	3.43	2.63
 70-74 	3.22	3.33	3.13
 75-79 	1.30	2.22	0.71
 80+ 	0.00	0.00	0.00
Total	6.78	5.98	7.60
