Workshop_1_Demo	Total	Male	Female																																																																																																																																																																																																																																																							
 80+ 	0.002068	0.001865	0.000202																																																																																																																																																																																																																																																							
Total	15.491292	8.668790	6.822502																																																																																																																																																																																																																																																							
1987																																																																																																																																																																																																																																																										
 0-4	0.481791	0.243630	0.238161																																																																																																																																																																																																																																																							
 5-9	0.060179	0.030377	0.029802																																																																																																																																																																																																																																																							
 10-14 	0.003291	0.001655	0.001636																																																																																																																																																																																																																																																							
 15-19 	2.114285	0.771160	1.343124																																																																																																																																																																																																																																																							
 20-24 	7.105086	3.277726	3.827360																																																																																																																																																																																																																																																							
 25-29 	8.333349	4.346968	3.986381																																																																																																																																																																																																																																																							
 30-34 	7.043195	4.003768	3.039427																																																																																																																																																																																																																																																							
 35-39 	5.018462	2.984058	2.034404																																																																																																																																																																																																																																																							
 40-44 	3.300007	1.951972	1.348035																																																																																																																																																																																																																																																							
 45-49 	2.155905	1.221528	0.934378																																																																																																																																																																																																																																																							
 50-54 	1.310098	0.713661	0.596438																																																																																																																																																																																																																																																							
 55-59 	0.776534	0.431422	0.345112																																																																																																																																																																																																																																																							
 60-64 	0.457098	0.270207	0.186891																																																																																																																																																																																																																																																							
 65-69 	0.294148	0.178336	0.115813																																																																																																																																																																																																																																																							
 70-74 	0.203026	0.107099	0.095927																																																																																																																																																																																																																																																							
 75-79 	0.066374	0.041384	0.024990																																																																																																																																																																																																																																																							
 80+ 	0.004233	0.003866	0.000367																																																																																																																																																																																																																																																							
Total	38.727061	20.578816	18.148245																																																																																																																																																																																																																																																							
1988																																																																																																																																																																																																																																																										
 0-4	1.239583	0.626884	0.612699																																																																																																																																																																																																																																																							
 5-9	0.149096	0.075283	0.073813																																																																																																																																																																																																																																																							
 10-14 	0.006108	0.003073	0.003035																																																																																																																																																																																																																																																							
 15-19 	5.443597	1.896929	3.546668																																																																																																																																																																																																																																																							
 20-24 	18.281876	8.084308	10.197568																																																																																																																																																																																																																																																							
 25-29 	21.052310	10.547684	10.504626																																																																																																																																																																																																																																																							
 30-34 	17.711645	9.669663	8.041981																																																																																																																																																																																																																																																							
 35-39 	12.709185	7.268818	5.440367																																																																																																																																																																																																																																																							
 40-44 	8.251782	4.698703	3.553078																																																																																																																																																																																																																																																							
 45-49 	5.420114	2.946648	2.473466																																																																																																																																																																																																																																																							
 50-54 	3.290574	1.711068	1.579505																																																																																																																																																																																																																																																							
 55-59 	1.960326	1.041109	0.919217																																																																																																																																																																																																																																																							
 60-64 	1.156269	0.662295	0.493974																																																																																																																																																																																																																																																							
 65-69 	0.737289	0.433088	0.304201																																																																																																																																																																																																																																																							
 70-74 	0.520135	0.263129	0.257006																																																																																																																																																																																																																																																							
 75-79 	0.167027	0.101033	0.065994																																																																																																																																																																																																																																																							
 80+ 	0.009721	0.008944	0.000778																																																																																																																																																																																																																																																							
Total	98.106636	50.038660	48.067977																																																																																																																																																																																																																																																							
1989																																																																																																																																																																																																																																																										
 0-4	3.082505	1.558969	1.523536																																																																																																																																																																																																																																																							
 5-9	0.374644	0.189208	0.185436																																																																																																																																																																																																																																																							
 10-14 	0.012363	0.006223	0.006141																																																																																																																																																																																																																																																							
 15-19 	13.477465	4.531718	8.945747																																																																																																																																																																																																																																																							
 20-24 	45.623644	19.445036	26.178608																																																																																																																																																																																																																																																							
 25-29 	52.137836	25.272613	26.865223																																																																																																																																																																																																																																																							
 30-34 	43.781838	23.141190	20.640648																																																																																																																																																																																																																																																							
 35-39 	31.737473	17.598854	14.138618																																																																																																																																																																																																																																																							
 40-44 	20.465621	11.316046	9.149576																																																																																																																																																																																																																																																							
 45-49 	13.457496	7.093386	6.364110																																																																																																																																																																																																																																																							
 50-54 	8.175880	4.101897	4.073982																																																																																																																																																																																																																																																							
 55-59 	4.877846	2.495981	2.381865																																																																																																																																																																																																																																																							
 60-64 	2.881769	1.607172	1.274598																																																																																																																																																																																																																																																							
 65-69 	1.819891	1.043553	0.776338																																																																																																																																																																																																																																																							
 70-74 	1.301859	0.636910	0.664949																																																																																																																																																																																																																																																							
 75-79 	0.419282	0.245948	0.173334																																																																																																																																																																																																																																																							
 80+ 	0.023502	0.021612	0.001890																																																																																																																																																																																																																																																							
Total	243.650915	120.306315	123.344600																																																																																																																																																																																																																																																							
1990																																																																																																																																																																																																																																																										
 0-4	7.290399	3.687167	3.603232																																																																																																																																																																																																																																																							
 5-9	0.920069	0.464724	0.455345																																																																																																																																																																																																																																																							
 10-14 	0.027605	0.013900	0.013706																																																																																																																																																																																																																																																							
 15-19 	31.536156	10.251364	21.284791																																																																																																																																																																																																																																																							
 20-24 	108.481204	44.783391	63.697814																																																																																																																																																																																																																																																							
 25-29 	124.219679	58.528771	65.690908																																																																																																																																																																																																																																																							
 30-34 	104.079709	53.544108	50.535601																																																																																																																																																																																																																																																							
 35-39 	76.310028	41.232303	35.077724																																																																																																																																																																																																																																																							
 40-44 	49.181004	26.559953	22.621051																																																																																																																																																																																																																																																							
 45-49 	32.216286	16.591452	15.624835																																																																																																																																																																																																																																																							
 50-54 	19.647768	9.592972	10.054797																																																																																																																																																																																																																																																							
 55-59 	11.700777	5.804281	5.896496																																																																																																																																																																																																																																																							
 60-64 	6.924880	3.770967	3.153913																																																																																																																																																																																																																																																							
 65-69 	4.337080	2.443293	1.893787																																																																																																																																																																																																																																																							
 70-74 	3.118575	1.486531	1.632044																																																																																																																																																																																																																																																							
 75-79 	1.023511	0.582105	0.441406																																																																																																																																																																																																																																																							
 80+ 	0.057278	0.052288	0.004990																																																																																																																																																																																																																																																							
Total	581.072008	279.389569	301.682440																																																																																																																																																																																																																																																							
1991																																																																																																																																																																																																																																																										
 0-4	16.290605	8.239014	8.051592																																																																																																																																																																																																																																																							
 5-9	2.165648	1.093911	1.071737																																																																																																																																																																																																																																																							
 10-14 	0.065760	0.033120	0.032640																																																																																																																																																																																																																																																							
 15-19 	69.232533	21.874802	47.357731																																																																																																																																																																																																																																																							
 20-24 	243.377958	97.475261	145.902697																																																																																																																																																																																																																																																							
 25-29 	281.866027	129.221375	152.644652																																																																																																																																																																																																																																																							
 30-34 	235.429842	118.135390	117.294452																																																																																																																																																																																																																																																							
 35-39 	174.497590	92.020106	82.477484																																																																																																																																																																																																																																																							
 40-44 	113.187499	59.817742	53.369757																																																																																																																																																																																																																																																							
 45-49 	73.456917	37.108361	36.348556																																																																																																																																																																																																																																																							
 50-54 	45.191537	21.601522	23.590015																																																																																																																																																																																																																																																							
 55-59 	26.800155	12.950829	13.849326																																																																																																																																																																																																																																																							
 60-64 	15.892109	8.460977	7.431132																																																																																																																																																																																																																																																							
 65-69 	9.892220	5.504142	4.388078																																																																																																																																																																																																																																																							
 70-74 	7.079051	3.310446	3.768605																																																																																																																																																																																																																																																							
 75-79 	2.396994	1.322499	1.074495																																																																																																																																																																																																																																																							
 80+ 	0.137189	0.123667	0.013522																																																																																																																																																																																																																																																							
Total	1316.959633	618.293163	698.666470																																																																																																																																																																																																																																																							
1992																																																																																																																																																																																																																																																										
 0-4	34.149487	17.270944	16.878544																																																																																																																																																																																																																																																							
 5-9	4.843525	2.446619	2.396906																																																																																																																																																																																																																																																							
 10-14 	0.160780	0.080989	0.079790																																																																																																																																																																																																																																																							
 15-19 	141.382681	43.442125	97.940556																																																																																																																																																																																																																																																							
 20-24 	509.963902	198.826764	311.137138																																																																																																																																																																																																																																																							
 25-29 	602.732799	269.392163	333.340636																																																																																																																																																																																																																																																							
 30-34 	501.681103	246.114557	255.566546																																																																																																																																																																																																																																																							
 35-39 	375.466908	193.632823	181.834085																																																																																																																																																																																																																																																							
 40-44 	246.312624	127.572961	118.739663																																																																																																																																																																																																																																																							
 45-49 	158.193586	78.561302	79.632284																																																																																																																																																																																																																																																							
 50-54 	98.262553	46.147528	52.115025																																																																																																																																																																																																																																																							
 55-59 	58.009906	27.392295	30.617611																																																																																																																																																																																																																																																							
 60-64 	34.429312	17.928750	16.500562																																																																																																																																																																																																																																																							
 65-69 	21.315410	11.742760	9.572650																																																																																																																																																																																																																																																							
 70-74 	15.102346	6.968057	8.134290																																																																																																																																																																																																																																																							
 75-79 	5.308683	2.842635	2.466048																																																																																																																																																																																																																																																							
 80+ 	0.317985	0.281472	0.036513																																																																																																																																																																																																																																																							
Total	2807.633592	1290.644744	1516.988848																																																																																																																																																																																																																																																							
1993																																																																																																																																																																																																																																																										
 0-4	66.718403	33.741915	32.976488																																																																																																																																																																																																																																																							
 5-9	10.215305	5.160115	5.055190																																																																																																																																																																																																																																																							
 10-14 	0.391485	0.197211	0.194274																																																																																																																																																																																																																																																							
 15-19 	266.349106	79.897829	186.451278																																																																																																																																																																																																																																																							
 20-24 	991.182084	377.837366	613.344718																																																																																																																																																																																																																																																							
 25-29 	1203.771079	525.935813	677.835265																																																																																																																																																																																																																																																							
 30-34 	999.850708	480.953097	518.897611																																																																																																																																																																																																																																																							
 35-39 	754.580359	381.526088	373.054271																																																																																																																																																																																																																																																							
 40-44 	502.274809	255.277608	246.997200																																																																																																																																																																																																																																																							
 45-49 	320.237089	156.480955	163.756134																																																																																																																																																																																																																																																							
 50-54 	200.219805	92.559318	107.660487																																																																																																																																																																																																																																																							
 55-59 	117.915628	54.519879	63.395749																																																																																																																																																																																																																																																							
 60-64 	69.867162	35.593780	34.273382																																																																																																																																																																																																																																																							
 65-69 	43.016491	23.481371	19.535121																																																																																																																																																																																																																																																							
 70-74 	30.108246	13.785630	16.322616																																																																																																																																																																																																																																																							
 75-79 	11.003357	5.722758	5.280599																																																																																																																																																																																																																																																							
 80+ 	0.707236	0.610916	0.096320																																																																																																																																																																																																																																																							
Total	5588.408353	2523.281649	3065.126704																																																																																																																																																																																																																																																							
1994																																																																																																																																																																																																																																																										
 0-4	120.885959	61.136027	59.749932																																																																																																																																																																																																																																																							
 5-9	20.215213	10.211452	10.003761																																																																																																																																																																																																																																																							
 10-14 	0.929194	0.468073	0.461121																																																																																																																																																																																																																																																							
 15-19 	461.220813	135.383165	325.837647																																																																																																																																																																																																																																																							
 20-24 	1781.509093	667.397933	1114.111160																																																																																																																																																																																																																																																							
 25-29 	2225.819356	953.384439	1272.434917																																																																																																																																																																																																																																																							
 30-34 	1853.195599	877.036160	976.159439																																																																																																																																																																																																																																																							
 35-39 	1408.712793	699.878790	708.834004																																																																																																																																																																																																																																																							
 40-44 	954.314780	475.979208	478.335572																																																																																																																																																																																																																																																							
 45-49 	608.362887	292.054179	316.308709																																																																																																																																																																																																																																																							
 50-54 	380.816402	173.109021	207.707381																																																																																																																																																																																																																																																							
 55-59 	224.423785	101.584195	122.839589																																																																																																																																																																																																																																																							
 60-64 	132.189398	65.803710	66.385688																																																																																																																																																																																																																																																							
 65-69 	80.800001	43.629651	37.170350																																																																																																																																																																																																																																																							
 70-74 	55.804831	25.468673	30.336158																																																																																																																																																																																																																																																							
 75-79 	21.169817	10.699229	10.470587																																																																																																																																																																																																																																																							
 80+ 	1.494477	1.251755	0.242722																																																																																																																																																																																																																																																							
Total	10331.864398	4594.475660	5737.388738																																																																																																																																																																																																																																																							
1995																																																																																																																																																																																																																																																										
 0-4	202.830118	102.576514	100.253604																																																																																																																																																																																																																																																							
 5-9	37.455260	18.920141	18.535119																																																																																																																																																																																																																																																							
 10-14 	2.120995	1.068378	1.052617																																																																																																																																																																																																																																																							
 15-19 	733.738054	211.210234	522.527820																																																																																																																																																																																																																																																							
