Incidence per 1000 by age and sex			
	south_africa_test		
 0-4	0.740020	0.740342	0.739689
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.271436	3.078944	7.536270
 20-24 	13.525375	9.995269	17.273088
 25-29 	15.086814	12.695371	17.687848
 30-34 	13.720019	12.568772	14.983733
 35-39 	11.411001	10.836719	12.040701
 40-44 	9.069239	8.506964	9.683543
 45-49 	6.948732	6.242695	7.720706
 50-54 	5.182054	4.530691	5.894350
 55-59 	3.862266	3.559773	4.192809
 60-64 	3.108549	3.262246	2.943392
 65-69 	2.936729	3.329666	2.541924
 70-74 	3.109340	3.227046	3.009762
 75-79 	1.227877	2.144977	0.655036
 80+ 	0.000000	0.000000	0.000000
Total	6.455475	5.666186	7.269508
2045			
 0-4	0.737047	0.737379	0.736706
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.277078	3.081328	7.546485
 20-24 	13.537195	10.000836	17.294367
 25-29 	15.100447	12.703251	17.710390
 30-34 	13.732408	12.576625	15.002617
 35-39 	11.427980	10.849435	12.063272
 40-44 	9.070094	8.504357	9.688631
 45-49 	6.960398	6.251526	7.734822
 50-54 	5.187109	4.533038	5.901037
 55-59 	3.864854	3.560937	4.194992
 60-64 	3.110002	3.264167	2.945289
 65-69 	2.938965	3.331687	2.544325
 70-74 	3.116723	3.229159	3.019530
 75-79 	1.238174	2.143970	0.656386
 80+ 	0.000000	0.000000	0.000000
Total	6.453707	5.665952	7.266791
2046			
 0-4	0.734660	0.735025	0.734285
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.283113	3.084099	7.557059
 20-24 	13.550814	10.008356	17.317212
 25-29 	15.115813	12.713188	17.734261
 30-34 	13.745547	12.586051	15.021428
 35-39 	11.442509	10.860626	12.082356
 40-44 	9.071160	8.502290	9.693755
 45-49 	6.972425	6.261034	7.749168
 50-54 	5.192258	4.535801	5.907748
 55-59 	3.868464	3.563173	4.198408
 60-64 	3.111778	3.266624	2.947313
 65-69 	2.941407	3.334334	2.547349
 70-74 	3.122701	3.232128	3.026756
 75-79 	1.249353	2.145687	0.655438
 80+ 	0.000000	0.000000	0.000000
Total	6.452292	5.666428	7.263962
2047			
 0-4	0.732691	0.733088	0.732283
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.289826	3.087420	7.568413
 20-24 	13.566510	10.017982	17.342032
 25-29 	15.133165	12.725245	17.759905
 30-34 	13.760194	12.597414	15.041252
 35-39 	11.454467	10.869948	12.098130
 40-44 	9.075244	8.503657	9.701526
 45-49 	6.983238	6.269609	7.762322
 50-54 	5.198739	4.540005	5.915822
 55-59 	3.873412	3.566619	4.203640
 60-64 	3.113974	3.269648	2.949631
 65-69 	2.944222	3.337620	2.551039
 70-74 	3.129195	3.235827	3.034704
 75-79 	1.264188	2.149510	0.660165
 80+ 	0.000000	0.000000	0.000000
Total	6.451344	5.667624	7.261246
2048			
 0-4	0.731480	0.731889	0.731060
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.297443	3.091479	7.580817
 20-24 	13.584057	10.029545	17.368539
 25-29 	15.152252	12.739261	17.786982
 30-34 	13.777175	12.611184	15.063297
 35-39 	11.465239	10.878486	12.112276
 40-44 	9.084259	8.510524	9.713701
 45-49 	6.991649	6.275990	7.773174
 50-54 	5.207380	4.546351	5.926199
 55-59 	3.879259	3.570923	4.210169
 60-64 	3.116515	3.273182	2.952137
 65-69 	2.947415	3.341472	2.555258
 70-74 	3.136005	3.240089	3.043113
 75-79 	1.281505	2.155319	0.669014
 80+ 	0.000000	0.000000	0.000000
Total	6.450760	5.669446	7.258543
2049			
 0-4	0.730900	0.731291	0.730496
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.305536	3.096022	7.593669
 20-24 	13.602142	10.041974	17.395160
 25-29 	15.171895	12.754243	17.814107
 30-34 	13.795032	12.626114	15.085883
 35-39 	11.479286	10.890500	12.129414
 40-44 	9.101088	8.526018	9.732961
 45-49 	6.996849	6.279321	7.780883
 50-54 	5.217599	4.554314	5.938289
 55-59 	3.884865	3.575254	4.216454
 60-64 	3.119168	3.276961	2.954595
 65-69 	2.950785	3.345605	2.559733
 70-74 	3.142526	3.244443	3.051215
 75-79 	1.298539	2.161710	0.678422
 80+ 	0.000000	0.000000	0.000000
Total	6.449992	5.671418	7.255229
2050			
 0-4	0.731880	0.732246	0.731503
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.313316	3.100554	7.605847
 20-24 	13.619264	10.054114	17.419978
 25-29 	15.190688	12.769078	17.839518
 30-34 	13.812192	12.640890	15.107120
 35-39 	11.493579	10.903224	12.146277
 40-44 	9.118501	8.542547	9.752339
 45-49 	6.999020	6.279906	7.785476
 50-54 	5.228279	4.562912	5.950802
 55-59 	3.889648	3.579178	4.221645
 60-64 	3.121822	3.280726	2.957011
 65-69 	2.954011	3.349714	2.564115
 70-74 	3.148042	3.248418	3.058032
 75-79 	1.312789	2.164761	0.686931
 80+ 	0.000000	0.000000	0.000000
Total	6.448481	5.673082	7.250624
